type,title,director,cast,country,date_added,release_year,rating,duration,listed_in
Movie,Lost Girls,Liz Garbus,"Amy Ryan, Gabriel Byrne, Thomasin McKenzie, Lola Kirke, Oona Laurence, Dean Winters, Miriam Shor, Reed Birney, Kevin Corrigan, Stan Carp",United States,13-Mar-20,2020,5.5,95 min,Dramas
Movie,Miracle in Cell No. 7,Mehmet Ada Öztekin,"Aras Bulut Iynemli, Nisa Sofiya Aksongur, Deniz Baysal, Celile Toyon Uysal, Ilker Aksum, Mesut Akusta",Turkey,13-Mar-20,2019,6,132 min,"Dramas, International Movies"
TV Show,The Valhalla Murders,,"Nína Dögg Filippusdóttir, Björn Thors, Bergur Ebbi, Aldís Amah Hamilton, Sigurður Skúlason, Tinna Hrafnsdóttir, Arndís Hrönn Egilsdóttir, Edda Björgvinsdóttir, Valur Freyr Einarsson, Damon Younger",Iceland,13-Mar-20,2020,6.5,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
TV Show,Dirty Money,,,United States,11-Mar-20,2020,6.5,2 Seasons,"Crime TV Shows, Docuseries"
TV Show,On My Block,,"Sierra Capri, Jason Genao, Brett Gray, Diego Tinoco, Julio Macias, Jessica Marie Garcia, Ronni Hawk, Peggy Ann Blow, Paula Garcés, Danny Ramirez",United States,11-Mar-20,2020,6,3 Seasons,"Romantic TV Shows, TV Comedies, TV Dramas"
TV Show,The Circle Brazil,,Giovanna Ewbank,"Brazil, United Kingdom",11-Mar-20,2020,6.5,1 Season,"International TV Shows, Reality TV"
Movie,Carmen Sandiego: To Steal or Not to Steal,Jos Humphrey,"Gina Rodriguez, Finn Wolfhard, Abby Trott, Michael Hawley, Liam O'Brien, Mary Elizabeth McGlynn, Toks Olagundoye, Sharon Muthu","Canada, United States",10-Mar-20,2020,9,82 min,Children & Family Movies
Movie,Marc Maron: End Times Fun,Lynn Shelton,Marc Maron,United States,10-Mar-20,2020,6.5,71 min,Stand-Up Comedy
Movie,Sitara: Let Girls Dream,Sharmeen Obaid-Chinoy,,"Pakistan, United States",08-Mar-20,2020,7,16 min,"Children & Family Movies, Dramas"
Movie,Alakada Reloaded,Toyin Abraham,"Kehinde Bankole, Lilian Esoro, Bolaji Amusan, Toyin Abraham, Gabriel Afolayan, Bidemi Kosoko, Wumi Toriola, Tayo Amokade, Helen Paul, Liz DaSilva",,06-Mar-20,2017,6.5,104 min,"Comedies, International Movies"
Movie,All About Love,Adze Ugah,"Chris Attoh, Katlego Danke, Enyinna Nwigwe, Nomzamo Mbatha, Richard Lukunku, Zenande Mfenyane, Leroy Gopal, Angela Sithole",South Africa,06-Mar-20,2017,6.5,79 min,"Dramas, International Movies, Romantic Movies"
Movie,Guilty,Ruchi Narain,"Kiara Advani, Akansha Ranjan Kapoor, Gurfateh Pirzada, Taher Shabbir, Niki Walia, Manu Rishi Chadha, Dalip Tahil, Kunal Vijaykar",India,06-Mar-20,2020,6.5,120 min,"Dramas, International Movies"
Movie,I am Jonas,Christophe Charrier,"Félix Maritaud, Nicolas Bauwens, Tommy Lee Baïk, Aure Atika, Marie Denarnaud, Ilian Bergala, Pierre Cartonnet, Marcel Bouzige, Nicolas Sartous",France,06-Mar-20,2019,6.5,82 min,"Dramas, Independent Movies, International Movies"
Movie,Miles Davis: Birth of the Cool,Stanley Nelson,"Miles Davis, Carl Lumbly",United States,06-Mar-20,2019,6.5,115 min,"Documentaries, Music & Musicals"
Movie,Spenser Confidential,Peter Berg,"Mark Wahlberg, Winston Duke, Alan Arkin, Bokeem Woodbine, Iliza Shlesinger, Hope Olaide Wilson, Marc Maron",United States,06-Mar-20,2020,5.5,111 min,"Action & Adventure, Comedies"
Movie,Twin Murders: the Silence of the White City,Daniel Calparsoro,"Belén Rueda, Javier Rey, Aura Garrido, Manolo Solo, Alex Brendemühl, Ramón Barea, Sergio Dorado, Allende Blanco, Rubén Ochandiano",Spain,06-Mar-20,2020,6.5,110 min,"International Movies, Thrillers"
TV Show,Ugly Delicious,,"David Chang, Peter Meehan",United States,06-Mar-20,2020,6.5,2 Seasons,Docuseries
Movie,93 Days,Steve Gukas,"Bimbo Akintola, Somkele Iyamah, Danny Glover, Gideon Okeke, Seun Kentebe, Keppy Ekpenyong, Zara Udofia Ejoh, Bimbo Manuel, Patrick Diabuah, Tina Mba, Alastair Mackenzie, Tim Reid",Nigeria,05-Mar-20,2016,7,121 min,"Dramas, International Movies, Thrillers"
Movie,Angu Vaikuntapurathu (Malayalam),Trivikram Srinivas,"Allu Arjun, Pooja Hegde, Tabu, Sushanth, Nivetha Pethuraj, Jayaram, Murli Sharma",,05-Mar-20,2020,6,162 min,"Action & Adventure, Comedies, Dramas"
TV Show,Mighty Little Bheem: Festival of Colors,,"Samruddhi Shukla, Aranya Kaur, Rajesh Kava, Nishka Raheja, Sabina Malik, Shanoor Mirza",India,05-Mar-20,2020,8,1 Season,"Kids' TV, TV Comedies"
Movie,Tootsies & The Fake,Kittiphak Thonguam,"Araya A. Hargate, Paopetch Charoensook, Thongkanthom Thongchai, Ratthanant Janyajirawong, Pattarasaya Kreuasuwansri, Gunn Svasti Na Ayudhya, Kritsanapoom Pibulsonggram, Keetapat Pongruea",Thailand,05-Mar-20,2019,6.5,108 min,"Comedies, International Movies, LGBTQ Movies"
Movie,Aurora,Cristi Puiu,"Cristi Puiu, Clara Voda, Catrinel Dumitrescu, Luminita Gheorghiu, Valentin Popescu, Gheorghe Ifrim, Ileana Puiu, Valeria Seciu, Gelu Colceag","Romania, France, Switzerland, Germany",04-Mar-20,2010,6.5,186 min,"Dramas, International Movies"
Movie,Lil Peep: Everybody’s Everything,"Sebastian Jones, Ramez Silyan",Lil Peep,United States,04-Mar-20,2019,6.5,116 min,"Documentaries, Music & Musicals"
Movie,The Death of Mr. Lazarescu,Cristi Puiu,"Monica Bârladeanu, Ion Fiscuteanu, Doru Ana, Dragos Bucur, Gabriel Spahiu, Dan Chiriac, Luminita Gheorghiu, Alina Berzunteanu, Dana Dogaru, Mimi Branescu",Romania,04-Mar-20,2005,5.5,154 min,"Dramas, International Movies"
TV Show,Velvet,Carlos Sedes,"Paula Echevarría, Miguel Ángel Silvestre, Aitana Sánchez-Gijón, Manuela Velasco, Manuela Vellés, Marta Hazas, Javier Rey, Maxi Iglesias, Cecilia Freire, Adrián Lastra, Miriam Giovanelli, Natalia Millán, José Sacristán, Ingrid Rubio, Peter Vives, Llorenç González, Ángela Molina, Pastora Vega",Spain,04-Mar-20,2016,6,4 Seasons,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows"
Movie,Freaks,"Adam B. Stein, Zach Lipovsky","Emile Hirsch, Bruce Dern, Lexy Kolker, Grace Park, Amanda Crew, Aleks Paunovic, Michelle Harrison","United States, Canada",03-Mar-20,2018,5.5,105 min,"Independent Movies, Sci-Fi & Fantasy, Thrillers"
Movie,Luccas Neto in: The End of Christmas,Lucas Margutti,"Luccas Neto, Giovanna Alparone, Cleber Salgado, Bruno Bebianno, Lucas Margutti, Vivian Duarte",Brazil,03-Mar-20,2019,8,71 min,"Children & Family Movies, Comedies, Music & Musicals"
Movie,Taylor Tomlinson: Quarter-Life Crisis,Marcus Raboy,Taylor Tomlinson,United States,03-Mar-20,2020,6.5,61 min,Stand-Up Comedy
Movie,The Last Bomb of the Second World War,Athiyan Athirai,"Dinesh, Anandhi, Munishkanth, Riythvika, John Vijay",India,03-Mar-20,2019,6,133 min,"Dramas, Independent Movies, International Movies"
Movie,Uncovered,Zuko Nodada,"Nqobile Khumalo, Robert Hobbs, S'Thandiwe Kgoroge, Dumisani Mbebe, Thandeka Nodada, Fezile Makhanya",South Africa,03-Mar-20,2019,6.5,98 min,"Dramas, International Movies"
Movie,W.E.,Madonna,"Abbie Cornish, Andrea Riseborough, James D'Arcy, Oscar Isaac, Richard Coyle, David Harbour, James Fox, Judy Parfitt, Haluk Bilginer, Geoffrey Palmer, Natalie Dormer",United Kingdom,03-Mar-20,2011,5.5,119 min,"Dramas, Romantic Movies"
Movie,Fat Ballerina - David A. Arnold,Milton Horowitz,David A. Arnold,United States,02-Mar-20,2020,6.5,61 min,Stand-Up Comedy
TV Show,Akame ga Kill!,,"Sora Amamiya, Soma Saito, Yukari Tamura, Yuu Asakawa, Mamiko Noto, Yoshitsugu Matsuoka, Katsuyuki Konishi, Risa Mizuno, Satomi Akesaka",Japan,01-Mar-20,2014,6,1 Season,"Anime Series, Crime TV Shows, International TV Shows"
TV Show,Babylon Berlin,,"Volker Bruch, Liv Lisa Fries, Peter Kurth, Leonie Benesch, Matthias Brandt, Severija Janusauskaite, Fritzi Haberlandt, Ivan Shvedoff, Lars Eidinger, Anton von Lucke, Misel Maticevic",Germany,01-Mar-20,2020,6.5,3 Seasons,"Crime TV Shows, International TV Shows, TV Dramas"
Movie,Bhangra Paa Le,Sneha Taurani,"Sunny Kaushal, Rukshar Dhillon, Shriya Pilgaonkar, Parmeet Sethi, Samir Soni, Chaitanya Sharma, Sheeba Chaddha, Akarsh Khurana",India,01-Mar-20,2019,6,130 min,"Comedies, Dramas, International Movies"
TV Show,Calico Critters Mini Episodes Clover,,"Stephanie Sheh, Erika Harlacher, Julie Maddalena, Dorothy Fahn, Anne Yatco, Cherami Leigh, Doug Erholtz, Keith Silverstein",,01-Mar-20,2020,8,1 Season,Kids' TV
Movie,Calico Critters: Everyone's Big Dream Flying in the Sky,Momoko Kamiya,Erika Harlacher,,01-Mar-20,2019,8,11 min,Children & Family Movies
Movie,Frank & Lola,Matthew Ross,"Michael Shannon, Imogen Poots, Michael Nyqvist, Justin Long, Stella Schnabel, Rosanna Arquette, Emmanuelle Devos",United States,01-Mar-20,2016,6.5,87 min,"Dramas, Thrillers"
Movie,Hugo,Martin Scorsese,"Ben Kingsley, Sacha Baron Cohen, Asa Butterfield, Chloë Grace Moretz, Ray Winstone, Emily Mortimer, Christopher Lee, Helen McCrory, Michael Stuhlbarg, Frances de la Tour, Jude Law, Johnny Depp, Edmund Kingsley, Richard Griffiths, Angus Barnett, Michael Pitt, Gulliver McGrath, Eric Moreau, Chloe Grace Moretz","United Kingdom, United States, France",01-Mar-20,2011,4.5,127 min,"Children & Family Movies, Dramas"
Movie,Ordinary World,Lee Kirk,"Billie Joe Armstrong, Fred Armisen, Judy Greer, Selma Blair, Chris Messina, Brian Baumgartner, John Doman, Madisyn Shipman, Kevin Corrigan, Mia Dillon, Lucas Papaelias",United States,01-Mar-20,2016,6,87 min,"Comedies, Dramas, Music & Musicals"
Movie,"Pop, Lock 'n Roll",Ziggy Hofmeyr,"Maurice Paige, Yasirah Bhelz, Lionel Newton, Tarryn Alberts, Sandile Sand Zulu, Duane Lawrence, Robyn Brophy, Brady Brophy, Raylene Jacobs, Jason Meyer",South Africa,01-Mar-20,2017,6,88 min,"Dramas, International Movies, Romantic Movies"
Movie,There Will Be Blood,Paul Thomas Anderson,"Daniel Day-Lewis, Paul Dano, Kevin J. O'Connor, Ciarán Hinds, Dillon Freasier, Sydney McCallister, David Willis, David Warshofsky, Colton Woodward, Russell Harvard",United States,01-Mar-20,2007,5.5,158 min,"Dramas, Independent Movies"
Movie,Velvet Colección: Grand Finale,Gustavo Ron,"Marta Hazas, Asier Etxeandia, Adrián Lastra, Javier Rey, Llorenç González, Andrea Duro, Fernando Guallar, Diego Martín, Andrés Velencoso, Maxi Iglesias",,01-Mar-20,2020,6,82 min,"Dramas, International Movies, Romantic Movies"
Movie,Voulez-vous rire avec moi ce soir?,Yacine Belhousse,"Gad Elmaleh, Eddie Izzard, Bill Burr, Todd Barry, Kyan Khojandi, Judah Friedlander, Blanche Gardin, Mike Ward, Igor Meerson, Dan Naturman, Tony Law, Daniel Gagnon, Sebastian Marx, Michael Mittermeier, Paul Taylor, Korine Côté, Guillermo Guiz, Virginie Fortin, Francesco De Carlo",France,01-Mar-20,2018,6.5,93 min,"Documentaries, International Movies"
Movie,ZZ TOP: THAT LITTLE OL' BAND FROM TEXAS,Sam Dunn,,"United Kingdom, Canada, United States",01-Mar-20,2019,6.5,90 min,"Documentaries, Music & Musicals"
Movie,All The Bright Places,Brett Haley,"Elle Fanning, Justice Smith, Luke Wilson, Keegan-Michael Key, Alexandra Shipp, Lamar Johnson, Virginia Gardner, Kelli O'Hara, Felix Mallard, Sofia Hasmik",United States,28-Feb-20,2020,6.5,109 min,"Dramas, Romantic Movies"
TV Show,Always a Witch,,"Angely Gaviria, Sebastián Eslava, Luis Fernando Hoyos, Verónica Orozco, Lenard Vanderaa, Sofía Araujo, Dylan Fuentes, Valeria Emiliani, Dubán Prado, Carlos Quintero",Colombia,28-Feb-20,2019,6,2 Seasons,"International TV Shows, Spanish-Language TV Shows, TV Comedies"
Movie,Amit Tandon: Family Tandoncies,,Amit Tandon,India,28-Feb-20,2019,6,72 min,Stand-Up Comedy
TV Show,Queen Sono,,"Pearl Thusi, Vuyo Dabula, Loyiso Madinga, Kate Liquorish, Sechaba Morojele, Rob van Vuuren, Chi Mhende, Otto Nobela, Khathu Ramabulana, Enhle Mlotshwa",South Africa,28-Feb-20,2020,6.5,1 Season,"International TV Shows, TV Action & Adventure, TV Dramas"
TV Show,Toy Boy,,"Jesús Mosquera, Cristina Castaño, María Pedraza, José de la Torre, Carlo Costanzia, Raudel Raúl Martiato, Juanjo Almeida, José Manuel Seda, Álex Gadea, Javier Mora, Pedro Casablanc, Elisa Matilla, María Pujalte, Adelfa Calvo",Spain,28-Feb-20,2019,6.5,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
TV Show,Unstoppable,,"Tessa Ia, Bárbara López, Lucía Uribe, Coty Camacho, Diego Calva Hernández, Tomás Ruiz",Mexico,28-Feb-20,2020,6.5,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas"
Movie,Ala Vaikunthapurramuloo,Trivikram Srinivas,"Allu Arjun, Pooja Hegde, Tabu, Sushanth, Nivetha Pethuraj, Jayaram, Murli Sharma",India,27-Feb-20,2020,6,162 min,"Action & Adventure, Comedies, Dramas"
TV Show,Altered Carbon,,"Joel Kinnaman, James Purefoy, Martha Higareda, Renée Elise Goldsberry, Dichen Lachman, Will Yun Lee, Kristin Lehman, Chris Conner, Ato Essandoh, Tamara Taylor, Byron Mann",United States,27-Feb-20,2020,6.5,2 Seasons,"Crime TV Shows, TV Action & Adventure, TV Dramas"
TV Show,Followers,,"Miki Nakatani, Elaiza Ikeda, Mari Natsuki, Yuka Itaya, KOM_I, Mika Nakashima, Tadanobu Asano, Shuhei Uesugi, Nobuaki Kaneko, Hidekazu Mashima, Sho Kasamatsu, Yutaro",Japan,27-Feb-20,2020,6.5,1 Season,"International TV Shows, TV Dramas"
Movie,Pokémon: Mewtwo Strikes Back - Evolution,"Kunihiko Yuyama, Motonori Sakakibara","Sarah Natochenny, Dan Green, Bill Rogers, Michele Knotz, Alyson Leigh Rosenfeld, Rodger Parsons",Japan,27-Feb-20,2019,9,98 min,"Anime Features, Children & Family Movies"
TV Show,Six Windows in the Desert,"Ali Kalthami, Meshal Aljaser, Faris Godus, Mohamed al Salman, Faisal al Amer","Moayad Alnefaie, Mohammed Alhamdan, Citi Bet Baydi, Sadeem Alshehri, Mohammed Albakri, Moayed Althagafi, Hussain Alyahya, Abeer Alotaibi, Zara Albalushi, Ali Alshehabi",Saudi Arabia,27-Feb-20,2020,6,1 Season,TV Shows
Movie,Couple of Days,Tolu Awobiyi,"Lilian Esoro, Ademola Adedoyin, Enyima Nwigwe, Kiki Omeili, Okey Uzoeshi, Adesua Etomi, Olayode Juliana, Falz",Nigeria,26-Feb-20,2016,6,103 min,"Dramas, International Movies, Romantic Movies"
Movie,Gbomo Gbomo Express,Walter Taylaur,"Ramsey Nouah, Gideon Okeke, Osas Ighodaro Ajibade, Blossom Chukwujekwu, Kiki Omeili, Gbenro Ajibade, Ikechukwu, Alexx Ekubo, Shaffy Bello",Nigeria,26-Feb-20,2015,6.5,97 min,"Dramas, International Movies"
TV Show,I Am Not Okay With This,,"Sophia Lillis, Wyatt Oleff, Kathleen Rose Perkins, Sofia Bryant, Richard Ellis, Sophia Tatum, David Theune, Zachary S. Williams, Aidan Wojtak-Hissong",United States,26-Feb-20,2020,6.5,1 Season,"TV Comedies, TV Dramas, TV Sci-Fi & Fantasy"
Movie,Taxi Driver,Daniel Oriahi,"Odunlade Adekola, Ijeoma Grace Agu, Richard Akinlade, Babajide Alimison, Hafeez Oyetoro, Femi Jacobs, Toyin Oshinaike, Kelechi Udegbe",Nigeria,26-Feb-20,2015,6.5,94 min,"Comedies, Dramas, Independent Movies"
Movie,The Arbitration,Niyi Akinmolayan,"Adesua Etomi, O.C. Ukeje, Ireti Doyle, Sola Fosudo, Somkele Iyamah, Lota Chukwu, Gregory Ojefua, Beverly Naya, Bimbo Ademoye, Pius Fatoke",Nigeria,26-Feb-20,2016,6.5,101 min,"Dramas, International Movies"
TV Show,The Trials of Gabriel Fernandez,,,United States,26-Feb-20,2020,6.5,1 Season,"Crime TV Shows, Docuseries"
Movie,The Visit,Oyefunke Fayoyin,"Nse Ikpe-Etim, Femi Jacobs, Blossom Chukwujekwu, Bayray McNwizu",,26-Feb-20,2015,6.5,138 min,"Dramas, Independent Movies, International Movies"
Movie,When Love Happens,Seyi Babatope,"Weruche Opia, Gideon Okeke, Beverly Naya, O.C. Ukeje, Shaffy Bello, Oreka Godis",Nigeria,26-Feb-20,2014,6,109 min,"International Movies, Romantic Movies"
Movie,Pete Davidson: Alive From New York,Jason Orley,Pete Davidson,United States,25-Feb-20,2020,6.5,50 min,Stand-Up Comedy
Movie,Full Count,Robert Eagar,"John Paul Kakos, Natalia Livingston, E. Roger Mitchell, Rick Hearst, Jason London, Victoria Elizabeth Staley, Adam Boyer",United States,23-Feb-20,2019,7,110 min,"Children & Family Movies, Dramas, Faith & Spirituality"
TV Show,"Hi Bye, Mama!",,"Kim Tae-hee, Lee Kyoo-hyung, Go Bo-gyeol, Shin Dong-mi, Seo Woo-jin, Lee Si-woo, Oh Eui-sik, Ahn Nae-sang, Kim Mee-kyeong, Park Su-young, Kim Mi-su, Yoon Sa-bong",South Korea,23-Feb-20,2020,6,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows"
Movie,Girl on the Third Floor,Travis Stevens,"CM Punk, Trieste Kelly Dunn, Sarah Brooks, Elissa Dowling, Karen Woditsch, Marshall Bean, Anish Jethmalani, Bishop Stevens, Tonya Kay",United States,22-Feb-20,2019,6.5,92 min,Horror Movies
TV Show,Unabomber - In His Own Words,Mick Grogan,Ted Kaczynski,Canada,22-Feb-20,2018,6.5,1 Season,"Crime TV Shows, Docuseries"
TV Show,Gentefied,,"J.J. Soria, Carlos Santos, Karrie Martin, Joaquín Cosío, Julissa Calderon, Annie Gonzalez, Laura Patalano, Felipe Esparza",United States,21-Feb-20,2020,6.5,1 Season,"TV Comedies, TV Dramas"
TV Show,Hyena,,"Kim Hye-soo, Ju Ji-hoon, Lee Gyoung-young, Kim Ho-jung, Song Young-kyu, Hwang Bo-ra, Jeon Seok-ho, Hyun Bong-sik, Park Se-jin",South Korea,21-Feb-20,2020,6.5,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows"
TV Show,Puerta 7,,"Dolores Fonzi, Esteban Lamothe, Carlos Belloso, Juan Gil Navarro, Daniel Aráoz, Antonio Grimau, Ignacio Quesada, Mónica Ayos, Daniel Valenzuela",Argentina,21-Feb-20,2020,6.5,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
Movie,System Crasher,Nora Fingscheidt,"Helena Zengel, Albrecht Schuch, Gabriela Maria Schmeide, Lisa Hagmeister, Melanie Straub, Victoria Trauttmansdorff, Maryam Zaree, Tedros Teclebrhan",Germany,21-Feb-20,2020,6.5,120 min,"Dramas, Independent Movies, International Movies"
Movie,The Body,Jeethu Joseph,"Rishi Kapoor, Emraan Hashmi, Sobhita Dhulipala, Vedika, Anupam Bhattacharya, Chandan Anand, Arif Zakaria, Rukhsar Ahmed",India,21-Feb-20,2019,6,101 min,"International Movies, Thrillers"
Movie,The Last Thing He Wanted,Dee Rees,"Anne Hathaway, Ben Affleck, Willem Dafoe, Toby Jones, Rosie Perez, Edi Gathegi, Mel Rodriguez, Onata Aprile",United States,21-Feb-20,2020,5.5,116 min,"Dramas, Thrillers"
Movie,Yeh Ballet,Sooni Taraporevala,"Julian Sands, Manish Chauhan, Achintya Bose, Jim Sarbh, Danish Husain, Vijay Maurya, Heeba Shah, Kalyanee Mulay",India,21-Feb-20,2020,6.5,117 min,"Dramas, International Movies"
Movie,Pretville,Linda Korsten,"Marlee van der Merwe, Eugene Jensen, Marno van der Merwe, Lizelle de Klerk, Steve Hofmeyr, Sanet Ackermann, Terence Bridgett, Annette Engelbrecht, Rina Nienaber, Lizz Meiring",South Africa,20-Feb-20,2012,7,95 min,"Comedies, International Movies, Music & Musicals"
TV Show,Spectros,,"Danilo Mesquita, Cláudia Okuno, Mariana Sena, Enzo Barone, Drop Dashi, Miwa Yanagizawa, Carlos Takeshi, Daniel Rocha, Kelzy Ecard, Norival Rizzo, Nicolas Trevijano, Jui Huang, Jimmy Wong, Fania Espinosa, Wallie Ruy, Begê Muniz, Antonio Miano, Ricardo Iazzetta, Mayhara Ribeiro, Jairo Mattos",Brazil,20-Feb-20,2020,6.5,1 Season,"International TV Shows, TV Horror, TV Mysteries"
Movie,Untamed Romania,Tom Barton-Humphreys,,"Romania, United Kingdom",20-Feb-20,2018,7,93 min,"Children & Family Movies, Documentaries, International Movies"
TV Show,DreamWorks Shrek's Swamp Stories,,"Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas, Kristen Schaal, Simon Cowell, Gilles Marini, Charlotte Newhouse, Dean Edwards, Cody Cameron, Christopher Knights, Conrad Vernon",United States,17-Feb-20,2008,7,1 Season,"Kids' TV, TV Action & Adventure, TV Comedies"
Movie,By the Sea,Angelina Jolie,"Angelina Jolie, Brad Pitt, Mélanie Laurent, Melvil Poupaud, Niels Arestrup, Richard Bohringer","France, Malta, United States",16-Feb-20,2015,5.5,122 min,"Dramas, Romantic Movies"
Movie,Miss Virginia,R.J. Daniel Hanna,"Uzo Aduba, Matthew Modine, Aunjanue Ellis, Niles Fitch, Amirah Vann, Nadji Jeter, Michael Beasley, Adina Porter, Vanessa Williams",United States,16-Feb-20,2019,6.5,102 min,"Dramas, Independent Movies"
Movie,MR. RIGHT,Paco Cabezas,"Sam Rockwell, Anna Kendrick, Tim Roth, James Ransone, Anson Mount, Michael Eklund, RZA, Katie Nehra",United States,16-Feb-20,2015,5.5,96 min,"Action & Adventure, Comedies, Romantic Movies"
TV Show,On the Real,Tosin Coker,"Ini Dima Okojie, Akah Nnani, Nancy Isime, Maurice Sam, David Jones David, Angel Funto Johnson, Pearl Okorie, Tomiwa Tegbe, Peanut Omatsola",Nigeria,16-Feb-20,2017,6.5,1 Season,"International TV Shows, TV Dramas"
Movie,Term Life,Peter Billingsley,"Vince Vaughn, Hailee Steinfeld, Jonathan Banks, Bill Paxton, Mike Epps, Jordi Mollà, William Levy, Jon Favreau, Taraji P. Henson, Shea Whigham, Cain Velasquez",United States,16-Feb-20,2016,5.5,93 min,"Dramas, Thrillers"
Movie,The Forest,Jason Zada,"Natalie Dormer, Taylor Kinney, Yukiyoshi Ozawa, Eoin Macken, Stephanie Vogt, Rina Takasaki, Noriko Sakura, Yuho Yamashita",United States,16-Feb-20,2016,5,93 min,"Horror Movies, Independent Movies"
Movie,Monster High: Electrified,Avgousta Zourelidi,"Debi Derryberry, Cassandra Morris, Salli Saffioti, Larissa Gallagher, Cristina Milizia, Jonquil Goode, Travis Dresden, Evan Smith, Michael Sorich, Sara Cravens",,15-Feb-20,2017,8,72 min,Movies
TV Show,Talking Tom and Friends,,"Colin Hanks, Tom Kenny, James Adomian, Lisa Schwartz, Maria Bamford",Cyprus,15-Feb-20,2017,8,1 Season,"Kids' TV, TV Comedies"
Movie,A Shaun the Sheep Movie: Farmageddon,"Richard Phelan, Will Becher","Justin Fletcher, John Sparkes, Amalia Vitale, Kate Harbour, David Holt","United Kingdom, France, Belgium, Ireland, United States",14-Feb-20,2019,3,87 min,"Children & Family Movies, Comedies"
Movie,Cuddle Weather,Rod Cabatana Marmol,"Sue Ramirez, RK Bagatsing, Mark Anthony Fernandez, Aleck Bovick, Dexter Doria, Nino Muhlach, Lui Manansala, Dolly De Leon",Philippines,14-Feb-20,2019,6.5,95 min,"Dramas, International Movies, Romantic Movies"
